period                          RS_1Year  RS_9Months  RS_6Months  RS_3Months    RS
Company                 Symbol                                                    
MBC GROUP                           18.0        14.0         8.0         8.0  12.0
MCDC                                68.0        90.0        71.0        42.0  63.0
MEDGULF                             54.0        60.0        94.0        82.0  75.0
MEFIC REIT                          51.0        61.0        49.0        11.0  37.0
MEPCO                               18.0        11.0        10.0        70.0  36.0
MESC                                83.0        80.0        98.0        99.0  92.0
METLIFE AIG ANB                     48.0        68.0        57.0         1.0  35.0
MIAHONA                             14.0         6.0        11.0        49.0  26.0
MIS                                 99.0        99.0        97.0        97.0  98.0
MMG                                 65.0        68.0        57.0        39.0  54.0
MODERN MILLS                        65.0        56.0        53.0        66.0  62.0
MOUWASAT                            54.0        53.0        42.0         7.0  33.0
MRNA                                13.0        18.0        12.0        17.0  16.0
MULKIA REIT                         70.0        61.0        60.0        51.0  59.0
MUSHARAKA REIT                      61.0        55.0        46.0        18.0  40.0
MUTAKAMELA                           7.0         8.0         7.0        34.0  18.0
NADEC                               34.0        24.0        25.0        18.0  24.0
NAHDI                               24.0        39.0        52.0        15.0  29.0
NAJRAN CEMENT                       19.0        19.0        20.0         9.0  16.0
NAMA CHEMICALS                      15.0        15.0        18.0        23.0  19.0
NAQI                                74.0        75.0        35.0        55.0  59.0
NASEEJ                               0.0         0.0         1.0        52.0  21.0
NAYIFAT                             34.0        28.0        13.0        46.0  34.0
NCLE                                56.0        46.0        38.0        94.0  66.0
NGC                                 24.0        13.0        34.0        22.0  23.0
NICE ONE                             2.0         5.0         8.0        87.0  38.0
NOFOTH                              30.0        33.0        12.0         6.0  18.0
NORTHERN CEMENT                     47.0        51.0        38.0        44.0  45.0
OASIS                               83.0        80.0        87.0        79.0  82.0
OGC                                  8.0        41.0        29.0        48.0  35.0
PETRO RABIGH                        99.0        99.0        99.0        98.0  99.0
PETROCHEM                           65.0        68.0        57.0        30.0  50.0
QACCO                               46.0        77.0        72.0        56.0  62.0
RAOOM                               85.0        91.0        77.0        78.0  82.0
RASAN                               99.0        99.0        94.0        93.0  96.0
RAYDAN                               2.0         1.0         1.0         0.0   1.0
RED SEA                              6.0         2.0         1.0        53.0  24.0
RETAL                               40.0        54.0        61.0         7.0  34.0
RIBL                                76.0        84.0        74.0        21.0  56.0
RIYAD REIT                          55.0        58.0        53.0        43.0  51.0
RIYADH CABLES                       56.0        81.0        62.0        73.0  69.0
RIYADH CEMENT                       22.0        33.0        43.0        25.0  30.0
SAB                                 81.0        85.0        71.0        17.0  55.0
SABB TAKAFUL                        65.0        68.0        57.0        39.0  54.0
SABIC                               65.0        48.0        69.0        20.0  45.0
SABIC AGRI-NUTRIENTS                89.0        85.0        85.0        15.0  58.0
SACO                                47.0        36.0        31.0         9.0  27.0
SADAFCO                             38.0        44.0        42.0        78.0  57.0
SADR                                55.0        56.0        49.0        65.0  58.0
SAIB                                53.0        73.0        68.0        50.0  59.0
SAIC                                12.0        16.0        45.0        76.0  45.0
SAICO                               21.0        29.0        24.0        89.0  51.0
SAL                                 82.0        79.0        79.0        85.0  82.0
SALAMA                              15.0        11.0        28.0        65.0  37.0
SALEH ALRASHED                      39.0        44.0        24.0        16.0  28.0
SAMBA                               65.0        68.0        70.0        58.0  64.0
SANAD                               65.0        68.0        57.0        39.0  54.0
SAPTCO                              43.0        50.0        87.0        94.0  74.0
SARCO                               31.0        28.0        19.0        12.0  21.0
SASCO                               38.0        47.0        29.0        10.0  27.0
SAUDI ARAMCO                        79.0        81.0        83.0        33.0  62.0
SAUDI CABLE                         97.0        95.0        96.0        71.0  87.0
SAUDI CEMENT                        31.0        34.0        32.0        14.0  25.0
SAUDI CERAMICS                      75.0        49.0        45.0        25.0  44.0
SAUDI DARB                          10.0        19.0        49.0        68.0  43.0
SAUDI ENERGY                        93.0        93.0        93.0        85.0  90.0
SAUDI GERMAN HEALTH                  7.0         4.0        40.0        20.0  19.0
SAUDI KAYAN                         90.0        77.0        82.0        75.0  80.0
SAUDI RE                            49.0        45.0        63.0        68.0  59.0
SAVOLA GROUP                        85.0        97.0        93.0        89.0  91.0
SEDCO CAPITAL REIT                  87.0        89.0        90.0        75.0  84.0
SEERA                               44.0        25.0        16.0        62.0  42.0
SENAAT                              42.0        78.0        31.0        32.0  43.0
SFICO                                1.0         1.0         2.0        27.0  12.0
SGS                                 13.0        20.0        18.0        22.0  19.0
SHAKER                               9.0        10.0        15.0         5.0   9.0
SHARQIYAH DEV                       34.0        21.0        26.0        34.0  30.0
SHL                                 57.0        27.0        21.0        67.0  48.0
SIDC                                78.0        47.0        95.0        99.0  84.0
SIECO                               89.0        88.0        86.0        57.0  76.0
SIIG                                32.0        24.0        80.0        67.0  54.0
SINAD HOLDING                       45.0        37.0        66.0        72.0  59.0
SIPCHEM                             22.0        22.0        28.0        12.0  20.0
SISCO HOLDING                       95.0        83.0        83.0        70.0  81.0
SMASCO                              86.0        84.0        89.0        92.0  89.0
SMC HEALTHCARE                      16.0        49.0        28.0        34.0  33.0
SNB                                 90.0        93.0        84.0        41.0  70.0
SOLIDARITY                          65.0        68.0        57.0        39.0  54.0
SOLUTIONS                           46.0        43.0        48.0        84.0  61.0
SPCC                                18.0        22.0        33.0         2.0  16.0
SPIMACO                             91.0        73.0        78.0        32.0  62.0
SPM                                 73.0        88.0        69.0        86.0  81.0
SPORT CLUBS                         20.0        11.0         8.0        33.0  21.0
SPPC                                14.0         7.0        25.0        32.0  22.0
SRMG                                 1.0         1.0         0.0         6.0   3.0
SSP                                 88.0        87.0        97.0        99.0  94.0
STC                                 80.0        78.0        72.0        64.0  72.0
SULAIMAN ALHABIB                    41.0        43.0        21.0         8.0  25.0
SUMOU                               33.0        25.0        26.0        65.0  43.0
SVCP                                 5.0         4.0         5.0         4.0   5.0
Sahara                              69.0        79.0        62.0        47.0  61.0
TADAWUL GROUP                       37.0        29.0        33.0        43.0  37.0
TADCO                                9.0         8.0        15.0        27.0  18.0
TAIBA                               72.0        58.0        85.0        57.0  66.0
TAKWEEN                             20.0        14.0        20.0        27.0  22.0
TALCO                               35.0        37.0        40.0        60.0  47.0
TALEEM REIT                         87.0        84.0        73.0        69.0  77.0
TAMKEEN                             52.0        36.0        21.0        46.0  41.0
TANMIAH                              9.0        20.0        45.0        84.0  49.0
TAPRCO                               6.0         6.0        57.0        86.0  49.0
TASHEEL                             23.0        18.0         3.0        19.0  17.0
TASNEE                              76.0        40.0        52.0        74.0  64.0
TAWUNIYA                            84.0        94.0        95.0        93.0  92.0
TCC                                 26.0        29.0        17.0        11.0  19.0
TECO                                90.0        55.0        98.0        90.0  85.0
THEEB                                4.0         4.0         2.0         1.0   3.0
