Symbol,Company,symbol on tradingView
6010,NADEC,TADAWUL:6010
4143,TALCO,TADAWUL:4143
2150,ZOUJAJ,TADAWUL:2150
4264,FLYNAS,TADAWUL:4264
8040,MUTAKAMELA,TADAWUL:8040
2170,ALUJAIN,TADAWUL:2170
4161,BINDAWOOD,TADAWUL:4161
4262,LUMI,TADAWUL:4262
3002,NAJRAN CEMENT,TADAWUL:3002
2200,APC,TADAWUL:2200
4150,ARDCO,TADAWUL:4150
4017,FAKEEH CARE,TADAWUL:4017
3060,YCC,TADAWUL:3060
2180,FIPCO,TADAWUL:2180
1202,MEPCO,TADAWUL:1202
6012,RAYDAN,TADAWUL:6012
3080,EPCCO,TADAWUL:3080
6090,JAZADCO,TADAWUL:6090
4210,SRMG,TADAWUL:4210
1323,UCIC,TADAWUL:1323
4001,A.OTHAIM MARKET,TADAWUL:4001
8070,ARABIAN SHIELD,TADAWUL:8070
6060,SHARQIYAH DEV,TADAWUL:6060
4320,ALANDALUS,TADAWUL:4320
4007,ALHAMMADI,TADAWUL:4007
8180,ALSAGR INSURANCE,TADAWUL:8180
2160,AMIANTIT,TADAWUL:2160
7201,ARAB SEA,TADAWUL:7201
2084,MIAHONA,TADAWUL:2084
2310,SIPCHEM,TADAWUL:2310
1201,TAKWEEN,TADAWUL:1201
4006,FARM SUPERSTORES,TADAWUL:4006
4230,RED SEA,TADAWUL:4230
4326,ALMAJDIAH,TADAWUL:4326
4194,BUILD STATION,TADAWUL:4194
2250,SIIG,TADAWUL:2250
3005,UACC,TADAWUL:3005
2100,WAFRAH,TADAWUL:2100
3050,SPCC,TADAWUL:3050
2360,SVCP,TADAWUL:2360
8150,ACIG,TADAWUL:8150
2082,ACWA POWER,TADAWUL:2082
4163,ALDAWAA,TADAWUL:4163
4324,BANAN,TADAWUL:4324
8260,GULF GENERAL,TADAWUL:8260
1830,LEEJAM SPORTS,TADAWUL:1830
2287,ENTAJ,TADAWUL:2287
2001,CHEMANOL,TADAWUL:2001
8311,ENAYA,TADAWUL:8311
6001,HB,TADAWUL:6001
1320,SSP,TADAWUL:1320
8300,WATANIYA,TADAWUL:8300
